Country_of_Operator,Users,Purpose,Class_of_Orbit,Type_of_Orbit,Perigee_km,Apogee_km,Eccentricity,Period_minutes,Launch_Site,Launch_Mass_kg,Inclination_radians
USA,Military,Earth Science/Meteorology,LEO,Sun-Synchronous,843.0,852.0,0.00062,101.87,Vandenberg AFB,1154.0,1.72613063
USA,Military,Earth Science/Meteorology,LEO,Sun-Synchronous,842.0,855.0,0.0009,101.89,Vandenberg AFB,1154.0,1.724210768
USA,Military,Earth Science/Meteorology,LEO,Sun-Synchronous,842.0,859.0,0.00118,101.94,Vandenberg AFB,1155.0,1.726654229
USA,Commercial,Technology Development,LEO,Sun-Synchronous,559.0,582.0,0.00166,96.08,Baikonur Cosmodrome,5.8,1.132369619
USA,Commercial,Technology Development,LEO,Sun-Synchronous,594.0,815.0,0.01562,98.8,Dombarovsky Launch Facility,6.0,1.705186679
USA,Commercial,Technology Development,LEO,Sun-Synchronous,594.0,815.0,0.01562,98.8,Dombarovsky Launch Facility,6.0,1.705186679
Japan,Government,Technology Development,GEO,,35775.0,35799.0,0.00028,1436.12,Tanegashima Space Center,2650.0,0.000349066
USA,Military,Communications,GEO,,35771.0,35802.0,0.00037,1436.12,Cape Canaveral,1156.0,0.000523599
USA,Military,Communications,GEO,,35760.0,35814.0,0.00064,1436.1,Cape Canaveral,1156.0,0.000872665
USA,Military,Communications,GEO,,35757.0,35817.0,0.00071,1436.1,Cape Canaveral,1156.0,0.044331363
USA,Military,Communications,GEO,,35706.0,35868.0,0.00192,1436.13,Cape Canaveral,1156.0,0.000174533
USA,Military,Communications,GEO,,35774.0,35799.0,0.0003,1436.12,Cape Canaveral,1156.0,0.000698132
USA,Military,Communications,GEO,,35718.0,35855.0,0.00162,1436.1,Cape Canaveral,1156.0,0.000872665
USA,Military,Communications,GEO,,35756.0,35817.0,0.00072,1436.11,Cape Canaveral,1156.0,0.080110613
USA,Military,Communications,GEO,,35784.0,35784.0,0.0,1436.1,Cape Canaveral,1156.0,0.0
USA,Military,Early Warning,GEO,,35780.0,35800.0,0.00024,1436.27,Cape Canaveral,2380.0,0.001745329
USA,Military,Early Warning,GEO,,35897.0,35909.0,0.00014,142.08,Cape Canaveral,2380.0,0.071209433
